C  NUMMU= 32  NUMAZI=  9  AZIORDER=  8  NSTOKES=2
C  LAYER_FILE=atmos.lay                          DELTA-M=N
C  SRC_CODE=1   QUAD_TYPE=GAUSSIAN        
C  DIRECT_FLUX=0.35209E+01   DIRECT_MU=0.284015
C  GROUND_TEMP=    0.00   GROUND_TYPE=LAMBERTIAN      
C  GROUND_ALBEDO= 0.00000   SKY_TEMP=    0.00
C  WAVELENGTH=0.750000E+00
C  UNITS=WATTS/(M^2 MICRON STER)     OUTPUT_POLARIZATION=IQ
C    Z      PHI     MU    FLUX/RADIANCE (I,Q,U,V)
   0.000   0.0 -2.00000  0.000000E+00  0.000000E+00
   0.000   0.0  2.00000  0.269743E+01  0.100069E+00
   0.000   0.0 -0.99931  0.000000E+00  0.000000E+00
   0.000   0.0 -0.99634  0.000000E+00  0.000000E+00
   0.000   0.0 -0.99101  0.000000E+00  0.000000E+00
   0.000   0.0 -0.98334  0.000000E+00  0.000000E+00
   0.000   0.0 -0.97333  0.000000E+00  0.000000E+00
   0.000   0.0 -0.96101  0.000000E+00  0.000000E+00
   0.000   0.0 -0.94641  0.000000E+00  0.000000E+00
   0.000   0.0 -0.92957  0.000000E+00  0.000000E+00
   0.000   0.0 -0.91052  0.000000E+00  0.000000E+00
   0.000   0.0 -0.88932  0.000000E+00  0.000000E+00
   0.000   0.0 -0.86600  0.000000E+00  0.000000E+00
   0.000   0.0 -0.84063  0.000000E+00  0.000000E+00
   0.000   0.0 -0.81327  0.000000E+00  0.000000E+00
   0.000   0.0 -0.78397  0.000000E+00  0.000000E+00
   0.000   0.0 -0.75282  0.000000E+00  0.000000E+00
   0.000   0.0 -0.71988  0.000000E+00  0.000000E+00
   0.000   0.0 -0.68524  0.000000E+00  0.000000E+00
   0.000   0.0 -0.64897  0.000000E+00  0.000000E+00
   0.000   0.0 -0.61116  0.000000E+00  0.000000E+00
   0.000   0.0 -0.57190  0.000000E+00  0.000000E+00
   0.000   0.0 -0.53128  0.000000E+00  0.000000E+00
   0.000   0.0 -0.48940  0.000000E+00  0.000000E+00
   0.000   0.0 -0.44637  0.000000E+00  0.000000E+00
   0.000   0.0 -0.40227  0.000000E+00  0.000000E+00
   0.000   0.0 -0.35722  0.000000E+00  0.000000E+00
   0.000   0.0 -0.31132  0.000000E+00  0.000000E+00
   0.000   0.0 -0.26469  0.000000E+00  0.000000E+00
   0.000   0.0 -0.21742  0.000000E+00  0.000000E+00
   0.000   0.0 -0.16964  0.000000E+00  0.000000E+00
   0.000   0.0 -0.12146  0.000000E+00  0.000000E+00
   0.000   0.0 -0.07299  0.000000E+00  0.000000E+00
   0.000   0.0 -0.02435  0.000000E+00  0.000000E+00
   0.000   0.0  0.02435  0.349242E+01  0.357234E-01
   0.000   0.0  0.07299  0.419969E+01  0.371700E-01
   0.000   0.0  0.12146  0.425135E+01  0.297066E-01
   0.000   0.0  0.16964  0.407778E+01  0.219697E-01
   0.000   0.0  0.21742  0.381070E+01  0.160608E-01
   0.000   0.0  0.26469  0.348223E+01  0.122243E-01
   0.000   0.0  0.31132  0.310857E+01  0.101504E-01
   0.000   0.0  0.35722  0.270774E+01  0.932355E-02
   0.000   0.0  0.40227  0.230102E+01  0.914862E-02
   0.000   0.0  0.44637  0.191026E+01  0.902023E-02
   0.000   0.0  0.48940  0.155438E+01  0.838127E-02
   0.000   0.0  0.53128  0.124674E+01  0.678506E-02
   0.000   0.0  0.57190  0.993816E+00  0.395663E-02
   0.000   0.0  0.61116  0.795373E+00 -0.162981E-03
   0.000   0.0  0.64897  0.645827E+00 -0.540796E-02
   0.000   0.0  0.68524  0.536310E+00 -0.114255E-01
   0.000   0.0  0.71988  0.456844E+00 -0.177558E-01
   0.000   0.0  0.75282  0.398150E+00 -0.239359E-01
   0.000   0.0  0.78397  0.352804E+00 -0.295963E-01
   0.000   0.0  0.81327  0.315662E+00 -0.345253E-01
   0.000   0.0  0.84063  0.283692E+00 -0.386844E-01
   0.000   0.0  0.86600  0.255443E+00 -0.421741E-01
   0.000   0.0  0.88932  0.230398E+00 -0.451700E-01
   0.000   0.0  0.91052  0.208420E+00 -0.478504E-01
   0.000   0.0  0.92957  0.189393E+00 -0.503417E-01
   0.000   0.0  0.94641  0.173072E+00 -0.526948E-01
   0.000   0.0  0.96101  0.159086E+00 -0.548921E-01
   0.000   0.0  0.97333  0.147021E+00 -0.568771E-01
   0.000   0.0  0.98334  0.136508E+00 -0.585891E-01
   0.000   0.0  0.99101  0.127271E+00 -0.599890E-01
   0.000   0.0  0.99634  0.119139E+00 -0.610664E-01
   0.000   0.0  0.99931  0.112034E+00 -0.618190E-01
   0.000 180.0 -0.99931  0.000000E+00  0.000000E+00
   0.000 180.0 -0.99634  0.000000E+00  0.000000E+00
   0.000 180.0 -0.99101  0.000000E+00  0.000000E+00
   0.000 180.0 -0.98334  0.000000E+00  0.000000E+00
   0.000 180.0 -0.97333  0.000000E+00  0.000000E+00
   0.000 180.0 -0.96101  0.000000E+00  0.000000E+00
   0.000 180.0 -0.94641  0.000000E+00  0.000000E+00
   0.000 180.0 -0.92957  0.000000E+00  0.000000E+00
   0.000 180.0 -0.91052  0.000000E+00  0.000000E+00
   0.000 180.0 -0.88932  0.000000E+00  0.000000E+00
   0.000 180.0 -0.86600  0.000000E+00  0.000000E+00
   0.000 180.0 -0.84063  0.000000E+00  0.000000E+00
   0.000 180.0 -0.81327  0.000000E+00  0.000000E+00
   0.000 180.0 -0.78397  0.000000E+00  0.000000E+00
   0.000 180.0 -0.75282  0.000000E+00  0.000000E+00
   0.000 180.0 -0.71988  0.000000E+00  0.000000E+00
   0.000 180.0 -0.68524  0.000000E+00  0.000000E+00
   0.000 180.0 -0.64897  0.000000E+00  0.000000E+00
   0.000 180.0 -0.61116  0.000000E+00  0.000000E+00
   0.000 180.0 -0.57190  0.000000E+00  0.000000E+00
   0.000 180.0 -0.53128  0.000000E+00  0.000000E+00
   0.000 180.0 -0.48940  0.000000E+00  0.000000E+00
